iteration,mean_dist_to_conventional,mean_dist_to_unconventional,mean_delta,median_delta,centroid_unconventional_count,centroid_conventional_count,nn_unconventional_count,nn_conventional_count,prop_centroid_unconventional,prop_nn_unconventional
188,27.416792,27.411757,0.0050373077,-0.14430237,3,4,4,3,0.42857142857142855,0.5714285714285714
189,23.980515,24.743166,-0.7626525,-0.85293007,0,7,2,5,0.0,0.2857142857142857
190,25.135777,26.674604,-1.5388273,-1.9068375,1,6,7,0,0.14285714285714285,1.0
191,26.763075,27.074383,-0.3113068,0.028303146,4,3,0,7,0.5714285714285714,0.0
192,25.029802,25.943354,-0.91355133,-0.62137604,2,5,4,3,0.2857142857142857,0.5714285714285714
193,25.156857,26.321424,-1.1645734,-1.2073116,0,7,5,2,0.0,0.7142857142857143
194,25.79605,27.002544,-1.2064912,-1.4866905,0,7,2,5,0.0,0.2857142857142857
195,25.742462,26.38011,-0.6376468,-1.0324688,1,6,3,4,0.14285714285714285,0.42857142857142855
196,23.712557,24.152279,-0.43971878,-0.4221115,3,4,3,4,0.42857142857142855,0.42857142857142855
197,27.65657,28.60032,-0.9437493,-0.9032402,0,7,1,6,0.0,0.14285714285714285
198,24.404474,25.875935,-1.4714614,-1.5720482,0,7,0,7,0.0,0.0
199,25.871983,27.08312,-1.2111372,-1.423109,2,5,2,5,0.2857142857142857,0.2857142857142857
200,23.854105,25.628551,-1.7744454,-1.5804558,0,7,2,5,0.0,0.2857142857142857
201,25.674147,25.6793,-0.0051539284,-0.5171108,3,4,6,1,0.42857142857142855,0.8571428571428571
202,25.688995,26.168308,-0.47931454,-0.21832275,0,7,1,6,0.0,0.14285714285714285
203,25.584484,24.931524,0.6529582,0.5291691,6,1,6,1,0.8571428571428571,0.8571428571428571
204,24.285091,23.592487,0.69260377,0.6178627,7,0,6,1,1.0,0.8571428571428571
205,24.14169,25.809786,-1.6680965,-1.1746273,0,7,4,3,0.0,0.5714285714285714
206,24.770594,25.504099,-0.73350555,-0.4612999,1,6,6,1,0.14285714285714285,0.8571428571428571
207,24.860125,25.350128,-0.49000195,-0.35291672,0,7,4,3,0.0,0.5714285714285714
208,26.767185,28.458212,-1.6910237,-1.9200611,0,7,0,7,0.0,0.0
209,24.162119,24.768948,-0.6068257,-0.591465,1,6,0,7,0.14285714285714285,0.0
210,24.149414,25.392397,-1.2429831,-1.2809982,0,7,5,2,0.0,0.7142857142857143
211,27.046787,27.109554,-0.06276866,-0.5964203,3,4,4,3,0.42857142857142855,0.5714285714285714
212,25.084402,25.810333,-0.72593117,-0.7773571,0,7,1,6,0.0,0.14285714285714285
213,25.073933,23.831488,1.2424461,1.0773773,7,0,7,0,1.0,1.0
214,23.875547,24.744442,-0.86889297,-1.0678997,2,5,6,1,0.2857142857142857,0.8571428571428571
215,23.196564,24.21937,-1.0228064,-0.8423214,1,6,5,2,0.14285714285714285,0.7142857142857143
216,25.055187,25.176588,-0.121402465,-0.5060749,2,5,5,2,0.2857142857142857,0.7142857142857143
217,25.432241,25.810251,-0.37800545,-0.18476677,2,5,4,3,0.2857142857142857,0.5714285714285714
218,24.504795,24.737885,-0.23308754,-0.34885597,1,6,5,2,0.14285714285714285,0.7142857142857143
219,24.783964,24.38211,0.40185085,0.6411114,4,3,7,0,0.5714285714285714,1.0
220,22.696548,25.96116,-3.2646117,-4.108864,0,7,1,6,0.0,0.14285714285714285
221,23.80698,24.620365,-0.8133853,-0.61940765,1,6,4,3,0.14285714285714285,0.5714285714285714
222,23.93774,24.439703,-0.5019654,-0.54143524,1,6,0,7,0.14285714285714285,0.0
223,24.427523,25.102688,-0.6751655,-0.9758282,2,5,6,1,0.2857142857142857,0.8571428571428571
224,27.045328,27.047846,-0.0025206974,-0.08849907,3,4,1,6,0.42857142857142855,0.14285714285714285
225,25.662828,27.44096,-1.7781351,-1.7633648,0,7,0,7,0.0,0.0
226,24.505522,25.385555,-0.8800351,-0.2584381,0,7,0,7,0.0,0.0
227,26.265276,26.072222,0.19305229,0.30413437,6,1,6,1,0.8571428571428571,0.8571428571428571
228,24.909994,25.925364,-1.0153654,-1.2409782,2,5,1,6,0.2857142857142857,0.14285714285714285
229,24.033499,23.920563,0.112935476,0.124809265,4,3,7,0,0.5714285714285714,1.0
230,24.564974,26.457026,-1.8920553,-1.4516544,0,7,0,7,0.0,0.0
231,25.125597,25.577623,-0.45202637,-0.58002853,1,6,0,7,0.14285714285714285,0.0
232,25.265762,26.260803,-0.99503815,-0.7819576,0,7,6,1,0.0,0.8571428571428571
233,23.884703,25.501694,-1.6169913,-1.7869434,0,7,6,1,0.0,0.8571428571428571
234,25.231318,26.590572,-1.3592546,-1.8463974,0,7,4,3,0.0,0.5714285714285714
235,26.358402,26.327394,0.031005042,0.63503647,4,3,2,5,0.5714285714285714,0.2857142857142857
236,23.951994,24.313593,-0.3615957,-0.27083015,0,7,0,7,0.0,0.0
237,24.825363,24.263594,0.5617695,0.44642448,7,0,7,0,1.0,1.0
238,23.758556,26.081238,-2.322681,-2.0915833,0,7,2,5,0.0,0.2857142857142857
239,25.948044,26.631788,-0.68374795,-0.7066536,2,5,6,1,0.2857142857142857,0.8571428571428571
240,25.174526,26.742247,-1.5677198,-1.4672241,1,6,4,3,0.14285714285714285,0.5714285714285714
241,25.217466,25.829695,-0.6122284,-0.6653671,1,6,0,7,0.14285714285714285,0.0
242,25.6341,25.307718,0.3263828,0.70414925,4,3,3,4,0.5714285714285714,0.42857142857142855
243,25.14586,24.984434,0.16142546,-0.024053574,3,4,1,6,0.42857142857142855,0.14285714285714285
244,23.769413,23.97462,-0.20520727,-0.22905159,3,4,0,7,0.42857142857142855,0.0
245,27.068722,26.862494,0.20622852,-0.022720337,3,4,4,3,0.42857142857142855,0.5714285714285714
246,25.492321,25.5212,-0.028877258,-0.26400185,1,6,5,2,0.14285714285714285,0.7142857142857143
247,23.843113,24.606913,-0.76379937,-0.7399864,0,7,0,7,0.0,0.0
248,26.346622,26.146164,0.20046152,0.21879196,6,1,5,2,0.8571428571428571,0.7142857142857143
249,23.749815,25.978785,-2.2289703,-2.81629,0,7,0,7,0.0,0.0
250,24.134218,25.820902,-1.6866817,-1.8684654,0,7,7,0,0.0,1.0
251,23.650393,23.984816,-0.3344247,-0.4468422,2,5,7,0,0.2857142857142857,1.0
252,23.397032,23.814198,-0.41716656,-0.35231018,1,6,1,6,0.14285714285714285,0.14285714285714285
253,25.234043,25.97103,-0.73698586,-0.6468277,0,7,3,4,0.0,0.42857142857142855
254,25.414211,25.64671,-0.23249762,0.056900024,4,3,0,7,0.5714285714285714,0.0
255,23.992296,25.290255,-1.2979586,-0.9939995,0,7,3,4,0.0,0.42857142857142855
256,23.946106,24.275415,-0.32930866,-0.70801926,3,4,7,0,0.42857142857142855,1.0
257,23.540592,24.579699,-1.0391058,-0.6226692,0,7,0,7,0.0,0.0
258,27.072355,26.87991,0.19244549,0.042175293,4,3,7,0,0.5714285714285714,1.0
259,24.189312,24.756016,-0.56670487,-0.53284836,1,6,2,5,0.14285714285714285,0.2857142857142857
260,24.428288,26.697437,-2.2691538,-2.3444786,0,7,1,6,0.0,0.14285714285714285
261,25.412167,27.523468,-2.1113026,-2.346321,0,7,0,7,0.0,0.0
262,25.715033,25.758703,-0.043667655,0.230587,4,3,0,7,0.5714285714285714,0.0
263,23.589752,23.64186,-0.05210822,-0.11279678,3,4,6,1,0.42857142857142855,0.8571428571428571
264,25.046127,25.052107,-0.0059776306,0.23989487,4,3,2,5,0.5714285714285714,0.2857142857142857
265,24.76564,24.977118,-0.21148,0.09223747,4,3,0,7,0.5714285714285714,0.0
266,24.800838,25.537352,-0.73651314,-0.7989178,0,7,5,2,0.0,0.7142857142857143
267,23.626524,23.29411,0.33241245,0.1460247,5,2,6,1,0.7142857142857143,0.8571428571428571
268,23.493137,24.991232,-1.4980948,-1.4537468,0,7,0,7,0.0,0.0
269,25.10224,25.01427,0.08796937,-0.0924263,2,5,7,0,0.2857142857142857,1.0
270,23.667917,24.677013,-1.0090967,-1.053976,0,7,1,6,0.0,0.14285714285714285
271,26.688017,27.667492,-0.97947586,-0.5959339,0,7,2,5,0.0,0.2857142857142857
272,24.866331,25.444822,-0.5784931,-1.0170517,2,5,1,6,0.2857142857142857,0.14285714285714285
273,29.053831,28.225311,0.8285179,0.329525,6,1,0,7,0.8571428571428571,0.0
274,23.042173,23.839016,-0.7968426,-0.95404434,1,6,5,2,0.14285714285714285,0.7142857142857143
275,25.970764,26.652943,-0.6821796,-1.028923,3,4,4,3,0.42857142857142855,0.5714285714285714
276,25.654972,26.805738,-1.1507647,-0.96769714,0,7,2,5,0.0,0.2857142857142857
277,25.478514,25.327473,0.15103967,0.41388512,4,3,4,3,0.5714285714285714,0.5714285714285714
278,25.436644,26.93722,-1.5005758,-1.5877857,0,7,3,4,0.0,0.42857142857142855
