failed_path,dist_to_conventional_centroid,dist_to_unconventional_centroid,delta_conv_minus_unconv,centroid_closer_to,nearest_group,iteration
C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,25.380224,25.84588,-0.46565628,human_conventional,human_conventional,25
C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,25.380224,25.84588,-0.46565628,human_conventional,human_conventional,25
C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,33.144863,33.378136,-0.23327255,human_conventional,human_unconventional,25
C:\Users\maryc\Downloads\881project\uncannyrobot\bina48.png,24.787916,24.96353,-0.1756134,human_conventional,human_conventional,25
C:\Users\maryc\Downloads\881project\uncannyrobot\jiajia.png,22.862637,23.852243,-0.98960686,human_conventional,human_conventional,26
C:\Users\maryc\Downloads\881project\uncannyrobot\kodomoroid.jpg,25.195866,25.990557,-0.7946911,human_conventional,human_unconventional,26
C:\Users\maryc\Downloads\881project\uncannyrobot\nadine.png,24.269608,23.971043,0.2985649,human_unconventional,human_unconventional,26
C:\Users\maryc\Downloads\881project\uncannyrobot\jiajia.png,22.862637,23.852243,-0.98960686,human_conventional,human_conventional,26
C:\Users\maryc\Downloads\881project\uncannyrobot\sophia.png,23.095959,23.516024,-0.42006493,human_conventional,human_unconventional,26
C:\Users\maryc\Downloads\881project\uncannyrobot\nadine.png,24.269608,23.971043,0.2985649,human_unconventional,human_unconventional,26
C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,24.34343,24.909859,-0.56642914,human_conventional,human_unconventional,26
C:\Users\maryc\Downloads\881project\uncannyrobot\nadine.png,23.6835,25.627382,-1.943882,human_conventional,human_unconventional,27
C:\Users\maryc\Downloads\881project\uncannyrobot\han.png,24.128086,26.719263,-2.591177,human_conventional,human_unconventional,27
C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,25.449888,27.179125,-1.7292366,human_conventional,human_unconventional,27
C:\Users\maryc\Downloads\881project\uncannyrobot\nadine.png,23.6835,25.627382,-1.943882,human_conventional,human_unconventional,27
C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,25.449888,27.179125,-1.7292366,human_conventional,human_unconventional,27
C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,32.429108,35.23814,-2.8090324,human_conventional,human_conventional,27
C:\Users\maryc\Downloads\881project\uncannyrobot\sophia.png,21.62173,25.208128,-3.5863972,human_conventional,human_conventional,27
C:\Users\maryc\Downloads\881project\uncannyrobot\jiajia.png,22.284466,23.202246,-0.9177799,human_conventional,human_conventional,28
C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,32.48749,32.45266,0.034832,human_unconventional,human_unconventional,28
C:\Users\maryc\Downloads\881project\uncannyrobot\bina48.png,24.750866,24.059505,0.6913605,human_unconventional,human_unconventional,28
C:\Users\maryc\Downloads\881project\uncannyrobot\kodomoroid.jpg,25.190481,25.2077,-0.017219543,human_conventional,human_unconventional,28
C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,32.48749,32.45266,0.034832,human_unconventional,human_unconventional,28
C:\Users\maryc\Downloads\881project\uncannyrobot\bina48.png,24.750866,24.059505,0.6913605,human_unconventional,human_unconventional,28
C:\Users\maryc\Downloads\881project\uncannyrobot\bina48.png,24.750866,24.059505,0.6913605,human_unconventional,human_unconventional,28
C:\Users\maryc\Downloads\881project\uncannyrobot\kodomoroid.jpg,24.952345,26.241924,-1.2895794,human_conventional,human_conventional,29
C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,22.892786,24.000769,-1.1079826,human_conventional,human_unconventional,29
C:\Users\maryc\Downloads\881project\uncannyrobot\nadine.png,23.616581,23.610327,0.006254196,human_unconventional,human_conventional,29
C:\Users\maryc\Downloads\881project\uncannyrobot\otonaroid.jpg,24.765694,25.003578,-0.23788452,human_conventional,human_conventional,29
C:\Users\maryc\Downloads\881project\uncannyrobot\bina48.png,25.912216,24.59283,1.3193855,human_unconventional,human_unconventional,29
C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,27.01756,25.587006,1.4305534,human_unconventional,human_conventional,29
